oid,cid,idn,tna,rnk,tid,oei,oli,eag,lag,rid,lng,lat,cnm,cxi,ctno,aka,eid,idr,iid,tdf,flg
occ:1555239,col:219416,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.782776,-18.128611,Huayra Khasa tracksite (PTOR 8b),112,,Toro Toro,,,,,
occ:1555240,col:219417,Theropoda indet.,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:76342,-65.810837,-18.106943,Wara Wara tracksite (PTOR 9),112,,Toro Toro,rei:38220,,,,
occ:1555241,col:219418,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.816109,-18.081667,Laguna tracksite (PTOR 10),112,,Toro Toro,,,,,
occ:1555242,col:219419,Theropoda indet.,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:76342,-65.833054,-18.061111,Inca Corral tracksite (PTOR 11),112,,"Toro Toro, Inka Corral",rei:38223,,,,
occ:1555243,col:219420,Titanosauria indet.,Titanosauria,25,txn:55585,Campanian,,83.6,72.2,ref:76345,-65.248337,-19.054722,Cerro Sica Sica tracksite (SSH),113,,Sica-Sica,,,,,
occ:1555245,col:219421,Theropoda indet.,Theropoda,25,txn:38513,Campanian,,83.6,72.2,ref:76345,-65.2575,-19.057501,Cerro Churuquella tracksite (CH),113,,,,,,,
occ:1555246,col:219421,Dinosauria indet.,Dinosauria,25,txn:52775,Campanian,,83.6,72.2,ref:76345,-65.2575,-19.057501,Cerro Churuquella tracksite (CH),113,,,,,,,
occ:1555247,col:219422,Theropoda indet.,Theropoda,25,txn:38513,Campanian,,83.6,72.2,ref:76345,-65.256668,-19.056944,Avenida del Ejército tracksite (CH2),113,,,,,,,
occ:1555248,col:219422,Ankylosauria indet.,Ankylosauria,25,txn:38816,Campanian,,83.6,72.2,ref:76345,-65.256668,-19.056944,Avenida del Ejército tracksite (CH2),113,,,,,,,
occ:1555249,col:219423,Sauropoda indet.,Sauropoda,25,txn:38653,Santonian,Maastrichtian,85.7,66.0,ref:76345,-65.478333,-19.051666,Chulku Mayu tracksite (SM4),39,,Ch’ullcumayu,,,,,
occ:1555250,col:219423,Dromaeosauridae indet.,Dromaeosauridae,9,txn:38561,Santonian,Maastrichtian,85.7,66.0,ref:76342,-65.478333,-19.051666,Chulku Mayu tracksite (SM4),39,,Ch’ullcumayu,rei:38218,,,,
occ:1555251,col:219424,Titanosauria indet.,Titanosauria,25,txn:55585,Santonian,Maastrichtian,85.7,66.0,ref:76345,-65.481667,-19.0625,Mojon Jata tracksite (SM10),39,,Niñu Mayu,,,,,
occ:1555252,col:219425,? Dinosauria indet.,Dinosauria,25,txn:52775,Jurassic,Cretaceous,201.4,66.0,ref:76345,-65.238998,-21.218,"Las Carreras tracksite, Taraya",2,,,,,,,
occ:1555253,col:219426,Sauropoda indet.,Sauropoda,25,txn:38653,Maastrichtian,,72.2,66.0,ref:76345,-65.167,-20.603001,El Puente Viña Vieja tracksite,112,,"Comargo, Camargo",,,,,
occ:1555254,col:219427,Theropoda indet.,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:76345,-65.247002,-20.075001,Tambillos tracksite,112,,,,,,,
occ:1555255,col:219427,Titanosauridae indet.,Titanosauridae,9,txn:38680,Maastrichtian,,72.2,66.0,ref:76345,-65.247002,-20.075001,Tambillos tracksite,112,,,,,,,
occ:1555287,col:219428,Dinosauria indet.,Dinosauria,25,txn:52775,Santonian,Maastrichtian,85.7,66.0,ref:76345,-65.135002,-20.108999,San Lucas tracksite,39,,,,,,,
occ:1555292,col:219429,Dinosauria indet.,Dinosauria,25,txn:52775,Cenomanian,Coniacian,100.5,85.7,ref:76345,-65.379997,-19.152,Base de Obispo tracksite,39,,,,,,,
occ:1555303,col:219430,Ornithopoda indet.,Ornithopoda,12,txn:38713,Late Cretaceous,,100.5,66.0,ref:76345,-65.066002,-20.115999,K’ellu K’ellu tracksite,39,,"Kila Kila, Kellu Kellu",,,,,
occ:1555304,col:219431,Ornithopoda indet.,Ornithopoda,12,txn:38713,Late Cretaceous,,100.5,66.0,ref:76345,-65.066002,-20.115999,Th’ula Th’ula tracksite,39,,Kila Kila,,,,,
occ:1555305,col:219431,Sauropoda indet.,Sauropoda,25,txn:38653,Late Cretaceous,,100.5,66.0,ref:76345,-65.066002,-20.115999,Th’ula Th’ula tracksite,39,,Kila Kila,,,,,
occ:1555306,col:219431,Theropoda indet.,Theropoda,25,txn:38513,Late Cretaceous,,100.5,66.0,ref:76345,-65.066002,-20.115999,Th’ula Th’ula tracksite,39,,Kila Kila,,,,,
occ:1555338,col:219432,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.521942,-19.040277,"tracksite, 3rd stop (SM3)",112,,,,,,,
occ:1555342,col:219433,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.476944,-19.067778,campground tracksite (SM13),112,,,,,,,
occ:1555343,col:219434,Dinosauria indet.,Dinosauria,25,txn:52775,Maastrichtian,,72.2,66.0,ref:76345,-65.480003,-19.06361,Huayrani Kasa tracksite (SM11),112,,,,,,,
occ:1555385,col:219435,Dromaeosauridae indet.,Dromaeosauridae,9,txn:38561,Maastrichtian,,72.2,66.0,ref:76342,-65.478996,-19.042999,Pucajata Majara tracksite,112,,Maragua,rei:38228,,,,
occ:1555386,col:219436,Theropoda indet.,Theropoda,25,txn:38513,Maastrichtian,,72.2,66.0,ref:76342,-65.802002,-18.113001,Wayra Q'asa tracksite,112,,Toro Toro,,,,,
occ:1555387,col:219411,,Calorckosauripus lazari,3,txn:435590,Maastrichtian,,72.2,66.0,ref:76342,-65.760002,-18.13611,Huayllas Orko tracksite (PTOR 3a),112,,Toro Toro,,,,,IF
